2024-05-29,44,Линейка,32,56
2024-06-17,16,Тетрадь,32,1006
2024-07-09,96,Тетрадь,58,589
2024-05-13,41,Блокнот,30,278
2024-06-22,8,Тетрадь,95,1094
2024-02-23,58,Линейка,80,1939
2024-04-25,72,Карандаш,59,1200
2024-04-28,55,Блокнот,44,330
2024-04-04,100,Ручка,100,1520
2024-02-15,43,Линейка,65,1647
2024-06-20,99,Блокнот,86,1206
2024-03-20,3,Тетрадь,28,1981
2024-06-09,13,Карандаш,97,467
2024-04-16,36,Тетрадь,80,1199
2024-07-01,99,Блокнот,11,362
2024-05-01,5,Ручка,84,186
2024-04-09,66,Линейка,28,76
2024-04-19,11,Блокнот,2,1925
2024-04-26,75,Тетрадь,47,1793
2024-04-29,93,Карандаш,67,1181
2024-03-29,57,Ручка,58,1671
2024-03-27,90,Тетрадь,6,935
2024-06-30,45,Ручка,22,957
2024-03-25,8,Линейка,96,1965
2024-01-04,16,Карандаш,48,1330
2024-06-06,52,Тетрадь,97,774
2024-03-08,48,Карандаш,17,1354
2024-04-21,67,Блокнот,24,208
2024-08-04,21,Линейка,37,1766
2024-08-14,62,Карандаш,36,629
2024-03-21,88,Ручка,98,1075
2024-06-14,50,Блокнот,16,542
2024-06-26,30,Линейка,86,1003
2024-03-30,26,Линейка,73,1248
2024-04-07,5,Линейка,66,12
2024-08-11,47,Тетрадь,66,576
2024-04-23,84,Карандаш,58,141
2024-02-22,99,Тетрадь,1,431
2024-01-12,82,Тетрадь,60,854
2024-04-22,22,Блокнот,66,1238
2024-04-11,76,Блокнот,6,173
2024-02-03,43,Блокнот,7,1531
2024-01-09,49,Карандаш,27,1101
2024-06-29,9,Ручка,63,22
2024-07-19,47,Ручка,39,147
2024-04-19,45,Ручка,11,593
2024-04-19,48,Тетрадь,21,198
2024-04-17,42,Линейка,81,613
2024-01-29,87,Карандаш,37,658
2024-07-04,55,Блокнот,35,719
2024-07-19,42,Ручка,89,1792
2024-01-25,84,Линейка,95,1474
2024-04-21,29,Линейка,9,1676
2024-07-12,66,Линейка,54,1223
2024-03-26,34,Линейка,99,418
2024-04-28,95,Тетрадь,86,1599
2024-03-05,66,Линейка,80,545
2024-05-04,14,Карандаш,100,984
2024-05-28,99,Карандаш,3,570
2024-06-13,9,Блокнот,28,881
2024-03-24,25,Карандаш,74,1383
2024-07-27,84,Карандаш,93,56
2024-04-30,78,Блокнот,70,692
2024-06-29,69,Тетрадь,21,965
2024-05-10,8,Ручка,3,1534
2024-02-09,94,Линейка,82,1039
2024-04-27,15,Карандаш,79,746
2024-07-15,97,Линейка,47,694
2024-07-23,6,Блокнот,35,643
2024-01-04,42,Тетрадь,64,1853
2024-04-12,47,Ручка,22,1943
2024-08-03,89,Блокнот,30,104
2024-01-27,6,Ручка,94,874
2024-03-24,92,Блокнот,4,467
2024-03-30,86,Ручка,64,804
